129  H2S2         66.146  0  2  0  0  2
130  H2SO4        98.078  0  2  4  0  1
131  NH2SO2       80.086  0  2  2  1  1
132  NHSO2        79.078  0  1  2  1  1
133  CNSO2        90.081  1  0  2  1  1
134  S2O          80.129  0  0  1  0  2
135  HSO3         81.071  0  1  3  0  1
136  HO2SO2       97.071  0  1  4  0  1
137  HOSO3        97.071  0  1  4  0  1
138  HSOOSH       98.145  0  2  2  0  2
139  H2Oc         18.015  0  2  1  0  0
140  CH4c         16.042  1  4  0  0  0
141  NH3c         17.030  0  3  0  1  0
